HourDK,GrossConsumptionMWh,Trend,Seasonal24,Seasonal168,Seasonal8760,Remainder,Null_Remainder
2020-01-01 00:00:00,3331.34729,3877.51441012093,550.860179312665,-1131.01852047392,57.0736782751744,-23.0824572348588,0
2020-01-01 01:00:00,3257.505005,3877.54383660321,919.388593344611,-1454.71919179548,-91.5155377932393,6.80730464090084,0
2020-01-01 02:00:00,3161.865601,3877.5732630855,-287.515348314915,-669.209677209973,233.134045024667,7.88331841477748,0
2020-01-01 03:00:00,3074.752442,3877.60268956779,-1099.83632389649,-26.4632507438256,337.597057657653,-14.1477305851286,0
2020-01-01 04:00:00,3009.696167,3877.63211605008,-1026.35961862536,-0.195273325147246,230.486009510095,-71.8670666096618,0
2020-01-01 05:00:00,3018.246582,3877.66154253237,-673.359666215005,38.8782052812964,-83.1826820149366,-141.750817583737,0
2020-01-01 06:00:00,3098.039062,3877.69096901465,113.737485228311,-50.741910595579,-581.878333210097,-260.76914843734,0
2020-01-01 07:00:00,3178.324585,3877.72039549694,602.918486477898,147.210897515547,-1065.81489285012,-383.710301640287,0
2020-01-01 08:00:00,3293.61792,3877.74982197923,-456.879072733826,1151.13398904758,-805.957876590668,-472.42894170222,0
2020-01-01 09:00:00,3459.831177,3877.77924846152,386.75487113886,546.735619857256,-873.687337097549,-477.75122536006,0
2020-01-01 10:00:00,3650.973022,3877.8086749438,151.211886599941,778.392753627291,-692.66120913366,-463.77908403736,0
2020-01-01 11:00:00,3783.290283,3877.83810142609,90.8374096519024,816.177984896452,-597.694788562749,-403.868424411736,0
2020-01-01 12:00:00,3829.266724,3877.86752790838,685.754585089703,364.894919855826,-718.300459753122,-380.94984910081,0
2020-01-01 13:00:00,3804.801514,3877.89695439067,1168.85771325844,-12.4590575000599,-787.869942904036,-441.624153245017,0
2020-01-01 14:00:00,3812.027222,3877.92638087295,349.542921811299,480.078787076183,-483.916657958484,-411.604209801977,0
2020-01-01 15:00:00,3888.289551,3877.95580735524,-425.173185557378,886.260172551749,-134.955415297807,-315.797828051826,0
2020-01-01 16:00:00,4184.822143,3877.98523383753,627.290838225684,171.854597559232,-216.418459385568,-275.890067236897,0
2020-01-01 17:00:00,4502.957275,3878.01466031982,368.405275222336,414.980858096064,35.6282394221403,-194.071758060371,0
2020-01-01 18:00:00,4383.636474,3878.04408680211,-196.303849013259,678.803487878959,220.410561114862,-197.317812782618,0
2020-01-01 19:00:00,4136.677368,3878.07351328439,421.529558372412,-13.9705539511978,-21.5595332112295,-127.395616494357,0
2020-01-01 20:00:00,3916.077148,3878.10293976668,221.379150961906,-142.924470406734,65.1370220633129,-105.617494385169,0
2020-01-01 21:00:00,3695.789551,3878.13236624897,-490.633291130808,177.878065809786,238.410638930719,-107.998228858656,0
2020-01-01 22:00:00,3481.739014,3878.16179273126,-1138.98828058507,395.695243024501,428.541976246703,-81.6717174173627,0
2020-01-01 23:00:00,3273.880371,3878.19121921354,-862.845343996922,10.8911812712739,348.857017645932,-101.213703133812,0
2020-01-02 00:00:00,3119.934936,3878.22064569583,550.086145958973,-1104.42385900573,-188.796281046844,-15.1517156022069,0
2020-01-02 01:00:00,3010.410645,3878.25007217812,918.635594539938,-1442.19239339578,-314.961810121058,-29.3208182011663,0
2020-01-02 02:00:00,2976.675782,3878.27949866041,-288.170215562722,-648.842590278608,34.9554380135155,0.453651167432327,0
2020-01-02 03:00:00,2994.549561,3878.3089251427,-1100.3097476537,-9.25482486317531,157.352123122042,68.4530852520634,0
2020-01-02 04:00:00,3067.324585,3878.33835162498,-1026.40996050881,14.945171830309,67.6337685489778,132.817253504565,0
2020-01-02 05:00:00,3285.206543,3878.36777810727,-673.089496509008,41.9845602626524,-212.763280729122,250.706981868246,0
2020-01-02 06:00:00,3770.154419,3878.39720458956,114.113946515274,-57.0950500428976,-576.409298402694,411.147616340773,0
2020-01-02 07:00:00,4350.406006,3878.42663107185,603.495717985145,137.250062714373,-907.72506374689,638.958657975496,0
2020-01-02 08:00:00,4719.119751,3878.45605755413,-456.465087951594,1129.75822424855,-594.769439209228,762.139996358093,0
2020-01-02 09:00:00,4846.152832,3878.48548403642,387.144408952421,551.649597795195,-729.738864071582,758.612205287486,0
2020-01-02 10:00:00,4966.440552,3878.51491051871,151.612903789064,796.68976537162,-587.940065086148,727.563037406748,0
2020-01-02 11:00:00,4948.995362,3878.544337001,91.4269822983282,823.815537280266,-502.119240434113,657.327745854526,0
2020-01-02 12:00:00,4940.624633,3878.57376348329,686.082545355619,371.393694465551,-593.910004483115,598.484634178604,0
2020-01-02 13:00:00,4899.235962,3878.60318996557,1169.29102770403,0.26439541621884,-702.432974779458,553.510323693716,0
2020-01-02 14:00:00,4936.414795,3878.63261644786,349.568744282525,510.680084884895,-346.632542854787,544.165892239503,0
2020-01-02 15:00:00,4915.68335,3878.66204293015,-425.39508772718,926.677899178141,47.1282374199041,488.61025819907,0
2020-01-02 16:00:00,5138.473999,3878.69146941244,627.320047514921,216.214912679642,-84.8562048936212,501.103774286612,0
2020-01-02 17:00:00,5372.880859,3878.72089589472,368.062339464941,459.626309139704,163.155432805137,503.315881695483,0
2020-01-02 18:00:00,5211.17041,3878.75032237701,-196.794531396095,727.46158470132,336.473848660338,465.279185657446,0
2020-01-02 19:00:00,4839.360596,3878.7797488593,421.310494654076,38.8621422855624,151.569206962093,348.839003238963,0
2020-01-02 20:00:00,4587.927124,3878.80917534159,221.316649808099,-95.1393273511614,244.902388374523,338.038237826917,0
