HourDK,GrossConsumptionMWh,Trend,Seasonal24,Seasonal168,Seasonal8760,Remainder,Null_Remainder
2022-05-07 14:00:00,3648.572632,4103.07046568591,-434.829080534438,-256.198206507546,398.339421899367,-161.809968543286,0
2022-05-07 15:00:00,3616.029663,4103.03256947858,-267.305599377104,-461.354412602463,423.457702577244,-181.800597076235,0
2022-05-07 16:00:00,3619.398438,4102.99467327125,112.775803473572,-659.526977629685,138.025500531704,-74.8705616467569,0
2022-05-07 17:00:00,3797.487061,4102.95677706391,-301.81769203599,-486.243891936957,626.991222577498,-144.399354668472,0
2022-05-07 18:00:00,3826.96936,4102.91888085658,158.437822582155,-842.10230417572,576.039176228912,-168.324215492007,0
2022-05-07 19:00:00,3676.324707,4102.88098464925,-12.9455094989584,-978.350830003169,693.825014233181,-129.084952380354,0
2022-05-07 20:00:00,3543.123779,4102.84308844192,-355.425899644298,-1023.87978943673,1017.6198372995,-198.033457660402,0
2022-05-07 21:00:00,3508.236816,4102.80519223459,-1248.48621148042,-724.364383261749,1477.11017669785,-98.827958190308,0
2022-05-07 22:00:00,3415.098633,4102.76729602726,-1835.52600223804,-560.374368221806,1802.83034581279,-94.5986383802765,0
2022-05-07 23:00:00,3236.398194,4102.72939981993,-2354.84163294032,-418.505925120099,1967.67755241073,-60.6612001702756,0
2022-05-08 00:00:00,3077.480224,4102.6915036126,1711.45597339644,-535.534432171171,-2169.72589658016,-31.4069242576861,0
2022-05-08 01:00:00,2937.671631,4102.65360740527,704.341328538925,-80.0370102504424,-1772.16318040842,-17.1231142853558,0
2022-05-08 02:00:00,2850.144898,4102.61571119794,421.118187974477,57.9518311573977,-1584.10655730848,-147.43427502137,0
2022-05-08 03:00:00,2821.18689,4102.57781499061,136.649944525714,78.963334430597,-1422.08626038105,-74.9179435658384,0
2022-05-08 04:00:00,2821.36499,4102.53991878327,281.296046250209,-44.5109178548541,-1458.28248065267,-59.677576525969,0
2022-05-08 05:00:00,2803.614013,4102.50202257594,269.877735112157,-127.3830843611,-1441.89842064024,0.515760313412102,0
2022-05-08 06:00:00,2892.966064,4102.46412636861,285.337116085306,-238.887155747788,-1376.67039956451,120.722376858468,0
2022-05-08 07:00:00,3119.659424,4102.42623016128,241.154350422543,-203.053983476812,-1142.99788198878,122.130708881603,0
2022-05-08 08:00:00,3370.562378,4102.38833395395,34.5785147602418,-0.357528487041096,-874.93113816527,108.884195938052,0
2022-05-08 09:00:00,3524.915894,4102.35043774662,1012.90513222047,-497.650035836629,-1199.91730464534,107.22766451494,0
2022-05-08 10:00:00,3586.094239,4102.31254153929,811.600172678882,-390.803225827657,-1044.64479014236,107.629540751672,0
2022-05-08 11:00:00,3599.193481,4102.27464533196,770.735886134977,-417.067218074997,-925.554746590199,68.8049141984793,0
2022-05-08 12:00:00,3595.609498,4102.23674912463,51.8337253388373,-137.310684519177,-444.277935403291,23.127643458688,0
2022-05-08 13:00:00,3587.161743,4102.1988529173,-220.584447381569,-176.376295288464,-169.916745989706,51.8403787423777,0
2022-05-08 14:00:00,3547.807007,4102.16095670997,-429.15972069767,-214.856665356715,67.9039927932276,21.7584435512636,0
2022-05-08 15:00:00,3522.332763,4102.12306050264,-260.154996558371,-413.571197561584,107.913216112042,-13.9773194947397,0
2022-05-08 16:00:00,3567.771851,4102.08516429531,119.332350297304,-623.031843165789,-102.58375074153,71.9699303147399,0
2022-05-08 17:00:00,3749.005127,4102.04726808797,-295.872397763691,-407.105701448633,303.294910347884,46.6410477766294,0
2022-05-08 18:00:00,3789.632812,4102.00937188064,163.536374205316,-771.543685046091,280.587673321685,15.0430776384028,0
2022-05-08 19:00:00,3677.949463,4101.97147567331,-8.93387171359563,-895.920393762312,493.974109594172,-13.1418567915939,0
2022-05-08 20:00:00,3587.97522,4101.93357946598,-353.005468049629,-938.895264764285,838.257557621174,-60.3151842732696,0
2022-05-08 21:00:00,3563.669312,4101.89568325865,-1246.28843239496,-673.561919627851,1466.35295134007,-84.7289705759176,0
2022-05-08 22:00:00,3442.793335,4101.85778705132,-1832.65600265027,-538.093178859638,1790.32179776224,-78.6370683036685,0
2022-05-08 23:00:00,3239.194702,4101.81989084399,-2352.28286083282,-416.04015480297,1997.94607035117,-92.248243559382,0
2022-05-09 00:00:00,3080.093873,4101.78199463666,1711.00079967161,-492.333800867772,-2217.89815835186,-22.4569620886177,0
2022-05-09 01:00:00,2973.869385,4101.74409842933,704.896090910085,2.53975804818419,-1787.72790358402,-47.5826588036121,0
2022-05-09 02:00:00,2924.149292,4101.706202222,421.452662848988,92.9379601178822,-1660.67318586532,-31.27434732355,0
2022-05-09 03:00:00,2919.753784,4101.66830601467,136.402467542568,209.070794967773,-1477.69675392843,-49.6910305965576,0
2022-05-09 04:00:00,2993.445801,4101.63040980733,280.029369067608,144.132566643779,-1484.31455821222,-48.0319863064865,0
2022-05-09 05:00:00,3172.443482,4101.5925136,267.365807473241,232.054855637358,-1402.40211348042,-26.1675812302401,0
2022-05-09 06:00:00,3685.61084,4101.55461739267,280.487850762997,492.928593338862,-1159.65521232493,-29.705009169561,0
2022-05-09 07:00:00,4183.998901,4101.51672118534,233.793429505701,838.143240776179,-942.575016149272,-46.8794743178642,0
