valid_time,time,step,t2m
2020-01-01 06:00:00,2020-01-01,0 days 06:00:00,4.9357734
2020-01-01 12:00:00,2020-01-01,0 days 12:00:00,5.6524057
2020-01-01 18:00:00,2020-01-01,0 days 18:00:00,4.1795754
2020-01-02 00:00:00,2020-01-01,1 days 00:00:00,3.596075
2020-01-02 06:00:00,2020-01-01,1 days 06:00:00,3.5158696
2020-01-02 12:00:00,2020-01-01,1 days 12:00:00,4.2709074
2020-01-02 18:00:00,2020-01-01,1 days 18:00:00,4.351855
2020-01-03 00:00:00,2020-01-01,2 days 00:00:00,5.8753967
2020-01-03 06:00:00,2020-01-01,2 days 06:00:00,6.8102956
2020-01-03 12:00:00,2020-01-01,2 days 12:00:00,6.433325
2020-01-03 18:00:00,2020-01-01,2 days 18:00:00,5.212098
2020-01-04 00:00:00,2020-01-01,3 days 00:00:00,4.7385006
2020-01-04 06:00:00,2020-01-01,3 days 06:00:00,4.6417594
2020-01-04 12:00:00,2020-01-01,3 days 12:00:00,5.2985415
2020-01-04 18:00:00,2020-01-01,3 days 18:00:00,4.269055
2020-01-05 00:00:00,2020-01-01,4 days 00:00:00,2.8415704
2020-01-05 06:00:00,2020-01-01,4 days 06:00:00,2.4518683
2020-01-05 12:00:00,2020-01-01,4 days 12:00:00,4.869422
2020-01-05 18:00:00,2020-01-01,4 days 18:00:00,5.5006104
2020-01-06 00:00:00,2020-01-01,5 days 00:00:00,5.8984685
2020-01-06 06:00:00,2020-01-01,5 days 06:00:00,5.824938
2020-01-06 12:00:00,2020-01-01,5 days 12:00:00,5.8241396
2020-01-06 18:00:00,2020-01-01,5 days 18:00:00,4.930168
2020-01-07 00:00:00,2020-01-01,6 days 00:00:00,4.5933113
2020-01-07 06:00:00,2020-01-01,6 days 06:00:00,5.1945944
2020-01-07 12:00:00,2020-01-01,6 days 12:00:00,6.286452
2020-01-07 18:00:00,2020-01-01,6 days 18:00:00,5.982453
2020-01-08 00:00:00,2020-01-01,7 days 00:00:00,6.2366447
2020-01-08 06:00:00,2020-01-01,7 days 06:00:00,6.321952
2020-01-08 12:00:00,2020-01-01,7 days 12:00:00,6.5466056
2020-01-08 18:00:00,2020-01-01,7 days 18:00:00,5.594332
2020-01-09 00:00:00,2020-01-01,8 days 00:00:00,5.0501213
2020-01-09 06:00:00,2020-01-01,8 days 06:00:00,4.722433
2020-01-09 12:00:00,2020-01-01,8 days 12:00:00,5.721955
2020-01-09 18:00:00,2020-01-01,8 days 18:00:00,5.198683
2020-01-10 00:00:00,2020-01-01,9 days 00:00:00,4.8809986
2020-01-10 06:00:00,2020-01-01,9 days 06:00:00,4.6608725
2020-01-10 12:00:00,2020-01-01,9 days 12:00:00,5.2284956
2020-01-10 18:00:00,2020-01-01,9 days 18:00:00,4.6286883
2020-01-11 00:00:00,2020-01-01,10 days 00:00:00,4.37899
2020-01-11 06:00:00,2020-01-01,10 days 06:00:00,4.21813
2020-01-11 12:00:00,2020-01-01,10 days 12:00:00,4.9566584
2020-01-11 18:00:00,2020-01-01,10 days 18:00:00,4.369451
2020-01-12 00:00:00,2020-01-01,11 days 00:00:00,4.0273476
2020-01-12 06:00:00,2020-01-01,11 days 06:00:00,3.8803601
2020-01-12 12:00:00,2020-01-01,11 days 12:00:00,4.761083
2020-01-12 18:00:00,2020-01-01,11 days 18:00:00,4.0481157
2020-01-13 00:00:00,2020-01-01,12 days 00:00:00,3.7730618
2020-01-13 06:00:00,2020-01-01,12 days 06:00:00,3.6477973
2020-01-13 12:00:00,2020-01-01,12 days 12:00:00,4.717872
